2019-05-10 18:28:32.531 [http-nio-8888-exec-6] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:28:32.715 [http-nio-8888-exec-4] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:28:32.902 [http-nio-8888-exec-5] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:28:33.108 [http-nio-8888-exec-8] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:28:33.313 [http-nio-8888-exec-10] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:28:33.539 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:30:09.611 [http-nio-8888-exec-9] INFO  com.course.controller.UserManager - 查看到的结果是1
2019-05-10 18:31:21.915 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - 查看到的结果是1
2019-05-10 18:31:22.249 [http-nio-8888-exec-6] INFO  com.course.controller.UserManager - 查看到的结果是0
2019-05-10 18:33:13.796 [http-nio-8888-exec-8] INFO  com.course.controller.UserManager - 查看到的结果是1
2019-05-10 18:33:14.117 [http-nio-8888-exec-10] INFO  com.course.controller.UserManager - 查看到的结果是0
2019-05-10 18:35:02.048 [http-nio-8888-exec-9] INFO  com.course.controller.UserManager - 查看到的结果是1
2019-05-10 18:35:02.317 [http-nio-8888-exec-2] INFO  com.course.controller.UserManager - 查看到的结果是0
2019-05-10 18:36:37.782 [http-nio-8888-exec-4] INFO  com.course.controller.UserManager - 查看到的结果是0
2019-05-10 18:53:17.687 [Thread-17] INFO  o.s.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@459e9125: startup date [Fri May 10 18:16:23 CST 2019]; root of context hierarchy
2019-05-10 18:53:17.691 [Thread-17] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2019-05-10 18:53:17.693 [Thread-17] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
